Antibiotic	R	I	S
Amoxicillin	9977	2	10689
Amoxicillin/Clavulansäure	13550	392	22039
Ampicillin	38893	450	39579
Ampicillin/Sulbactam	40201	996	59030
Piperacillin	38572	169	41831
Piperacillin/Tazobactam	8718	5527	85073
Cefepim	203	2	1580
Cefotaxim	9673	91	78198
Ceftazidim	7434	4236	77566
Cefuroxim	17112	931	85843
Ertapenem	15	5	22909
Imipenem	17	11	102825
Meropenem	11	8	103437
Ciprofloxacin	20902	1064	81053
Amikacin	20	80	4651
Gentamicin	6208	319	97558
Tobramycin	1001	113	7960
Doxycyclin	808	9	1733
Tetracyclin	4062	44	9423
Co-Trimoxazol	27552	39	76740
Fosfomycin	1009	0	68492
Nitrofurantoin	1396	341	58284
