Antibiotic	R	I	S
Amoxicillin	1348	0	1
Amoxicillin/Clavulansäure	513	16	1647
Ampicillin	3372	1	1
Ampicillin/Sulbactam	1010	42	3362
Piperacillin	4148	164	41
Piperacillin/Tazobactam	900	116	3581
Cefepim	34	0	116
Cefotaxim	295	31	4313
Ceftazidim	277	7	3363
Cefuroxim	945	58	3712
Ertapenem	0	1	778
Imipenem	0	0	4542
Meropenem	0	0	3794
Ciprofloxacin	446	48	4226
Levofloxacin	418	20	3692
Amikacin	13	0	316
Gentamicin	107	5	4607
Tobramycin	78	6	3328
Doxycyclin	1089	31	1565
Tetracyclin	113	29	1216
Co-Trimoxazol	462	2	4254
Fosfomycin	24	1	134
