Antibiotic	R	I	S
Amoxicillin	4345	0	2
Amoxicillin/Clavulansäure	1922	49	5564
Ampicillin	15852	0	4
Ampicillin/Sulbactam	5158	142	14895
Piperacillin	15533	157	440
Piperacillin/Tazobactam	2649	1626	16065
Cefepim	100	5	451
Cefotaxim	2421	47	15742
Ceftazidim	2399	641	15169
Cefuroxim	4038	584	16661
Ertapenem	65	8	5110
Imipenem	73	36	20792
Meropenem	88	20	20889
Ciprofloxacin	2639	490	17704
Amikacin	14	37	1106
Gentamicin	1492	9	19658
Tobramycin	375	37	2027
Doxycyclin	179	26	399
Tetracyclin	504	90	1896
Co-Trimoxazol	2837	32	18339
Fosfomycin	2725	1	9842
Nitrofurantoin	1987	2583	3109
