Antibiotic	R	I	S
Amoxicillin	1740	25	4190
Amoxicillin/Clavulansäure	774	90	8319
Ampicillin	8205	191	17240
Ampicillin/Sulbactam	3282	600	28042
Piperacillin	6370	122	16251
Piperacillin/Tazobactam	250	755	29994
Cefepim	34	16	4565
Cefotaxim	387	46	27067
Ceftazidim	301	284	30610
Cefuroxim	1091	294	27797
Ertapenem	70	81	12019
Imipenem	1529	6234	18157
Meropenem	8	15	33080
Ciprofloxacin	4535	1216	27411
Amikacin	38	110	3892
Gentamicin	3343	163	29649
Tobramycin	527	113	5714
Doxycyclin	5516	1	20
Tetracyclin	6910	2	13
Co-Trimoxazol	10612	94	22424
Fosfomycin	3227	16	17516
Nitrofurantoin	16158	470	75
