Antibiotic	R	I	S
Oxacillin	47564	0	36745
Penicillin	55272	6	8097
Ciprofloxacin	29162	303	34305
Levofloxacin	38170	401	46453
Moxifloxacin	29003	3816	41037
Gentamicin	30265	27	65383
Clindamycin	41281	889	51856
Erythromycin	54179	180	36982
Doxycyclin	11803	1069	30306
Tetracyclin	14709	3842	35044
Teicoplanin	8191	401	57095
Vancomycin	20	14	92837
Co-Trimoxazol	19568	1852	73721
Fosfomycin	33932	34	47214
Fusidinsäure	20415	1438	44267
Linezolid	278	0	87291
Nitrofurantoin	690	37	24404
Rifampicin	3616	806	75777
